TIDM,Issuer Name,Instrument Name,ISIN,MiFIR Identifier Code,ICB Industry,ICB Super-Sector Name,Start Date,Country of Incorporation,Trading Currency,Security Mkt Cap (in �m),LSE Market,FCA Listing Category,Market Segment Code,Market Sector Code
ARCM,ARC MINERALS LIMITED,ORDS NPV (DI),VGG045791016,SHRS,Basic Materials,Basic Resources,22/01/2018,British Virgin Islands,GBX,�38.37,AIM,,ASX1,AIMP
ARC,ARCONTECH GROUP PLC,ORD GBP0.125,GB00BDBBJZ03,SHRS,Technology,Technology,28/09/2016,United Kingdom,GBX,�22.12,AIM,,ASX1,AIMP
ARDN,ARDEN PARTNERS PLC,ORD 10P,GB00B15CTY44,SHRS,Financials,Financial Services ,19/07/2006,United Kingdom,GBX,�6.11,AIM,,ASX1,AIMP
AREC,ARECOR THERAPEUTICS PLC,ORD GBP0.01,GB00BMWLM973,SHRS,Health Care ,Health Care  ,03/06/2021,United Kingdom,GBX,�63.67,AIM,,ASQ1,AMQ1
ARE,ARENA EVENTS GROUP PLC,ORD 1P,GB00BF0HYJ24,SHRS,Consumer Discretionary,Travel and Leisure,25/07/2017,United Kingdom,GBX,�51.55,AIM,,ASQ1,AMQ1
AGFX,ARGENTEX GROUP PLC,ORD �0.0001,GB00BJLPH056,SHRS,Financials,Financial Services ,25/06/2019,United Kingdom,GBX,�110.94,AIM,,AMSM,ASM6
ARB,ARGO BLOCKCHAIN PLC,ORD 0.1P,GB00BZ15CS02,SHRS,Technology,Technology,03/08/2018,United Kingdom,GBX,�511.66,MAIN MARKET,Standard Shares,SSQ3,SQS3
ARGO,ARGO GROUP LIMITED,ORD USD0.01,IM00B2RDSS92,SHRS,Financials,Financial Services ,18/11/2008,Isle of Man,GBX,�7.40,AIM,,ASX1,AIMP
ARG,ARGOS RESOURCES LIMITED,ORD 2P (DI),FK0114538241,SHRS,Energy,Energy,29/07/2010,Falkland Islands,GBX,�4.70,AIM,,ASQ1,AMQ1
AAU,ARIANA RESOURCES PLC,ORD 0.1P,GB00B085SD50,SHRS,Basic Materials,Basic Resources,28/07/2005,United Kingdom,GBX,�49.67,AIM,,ASQ1,AMQ1
ARIX,ARIX BIOSCIENCE PLC,ORD 0.001P,GB00BD045071,SHRS,Financials,Financial Services ,17/02/2017,United Kingdom,GBX,�227.15,MAIN MARKET,Standard Shares,SSQ3,SQS3
ARK,ARKLE RESOURCES PLC,ORD EUR0.0025 (CDI),IE00B2357X72,SHRS,Basic Materials,Basic Resources,31/07/2007,Ireland,GBX,�2.22,AIM,,ASX1,AIMP
ACP,ARMADALE CAPITAL PLC,ORD 0.1P,GB00BYMSY631,SHRS,Basic Materials,Basic Resources,23/06/2015,United Kingdom,GBX,�24.46,AIM,,ASX1,AIMP
ARO,ARRICANO REAL ESTATE PLC,ORD EUR0.0005 (DI),CY0102941610,SHRS,Real Estate,Real Estate ,12/09/2013,Cyprus,USD,�24.40,AIM,,ASQ1,AMQ1
ARW,ARROW GLOBAL GROUP PLC,ORD 1P,GB00BDGTXM47,SHRS,Financials,Financial Services ,08/10/2013,United Kingdom,GBX,�541.99,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
ATS,ARTEMIS ALPHA TRUST PLC,ORD 1P,GB0004355946,SHRS,Financials,Financial Services ,16/12/2008,United Kingdom,GBX,�164.91,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
ASAI,ASA INTERNATIONAL GROUP PLC,ORD GBP1,GB00BDFXHW57,SHRS,Financials,Financial Services ,13/07/2018,United Kingdom,GBX,�96.20,MAIN MARKET,Premium Equity Commercial Companies,SET3,ON15
ASCL,ASCENTIAL PLC,ORD 1P,GB00BYM8GJ06,SHRS,Technology,Technology,09/02/2016,United Kingdom,GBX,"�1,806.48",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
AST,ASCENT RESOURCES PLC,ORD 0.5P,GB00BJVH7905,SHRS,Energy,Energy,06/03/2020,United Kingdom,GBX,�5.25,AIM,,ASQ1,AMQ1
ASPL,ASEANA PROPERTIES LIMITED,ORD USD0.05,JE00B1RZDJ41,SHRS,Real Estate,Real Estate ,05/04/2007,Jersey,USD,�46.22,MAIN MARKET,Standard Shares,SSX3,SQSL
ASHM,ASHMORE GROUP PLC,ORD 0.01P,GB00B132NW22,SHRS,Financials,Financial Services ,18/12/2006,United Kingdom,GBX,"�2,822.45",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
AIE,ASHOKA INDIA EQUITY INVESTMENT TRUST PLC,ORD 1P,GB00BF50VS41,SHRS,Financials,Financial Services ,06/07/2018,United Kingdom,GBX,�152.58,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
AHT,ASHTEAD GROUP PLC,ORD 10P,GB0000536739,SHRS,Industrials,Industrial Goods and Services,19/09/2005,United Kingdom,GBX,"�25,121.98",MAIN MARKET,Premium Equity Commercial Companies,SET1,FE10
DGN,ASIA DRAGON TRUST PLC,ORD 20P,GB0002945029,SHRS,Financials,Financial Services ,08/07/2005,United Kingdom,GBX,�626.86,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
ARS,ASIAMET RESOURCES LIMITED,COM SHS USD0.01 (DI),BM04521V1038,SHRS,Basic Materials,Basic Resources,27/07/2015,Bermuda,GBX,�54.41,AIM,,ASQ1,AMQ1
ASLR,ASIMILAR GROUP PLC,ORD 0.01P,GB00BFX2VL54,SHRS,Financials,Financial Services ,29/03/2018,United Kingdom,GBX,�46.24,AIM,,ASX1,AIMP
ASC,ASOS PLC,ORD 3.5P,GB0030927254,SHRS,Consumer Discretionary,Retail ,18/12/2007,United Kingdom,GBX,"�3,920.60",AIM,,AMSM,AS50
ASTO,ASSETCO PLC,ORD 10P,GB00B42VYZ16,SHRS,Financials,Financial Services ,30/09/2011,United Kingdom,GBX,�142.38,AIM,,ASQ1,AMQ1
ASBE,ASSOCIATED BRITISH ENGINEERING PLC,ORD 2.5P,GB0007395642,SHRS,Industrials,Industrial Goods and Services,14/02/2000,United Kingdom,GBX,�0.31,MAIN MARKET,Premium Equity Commercial Companies,SSQ3,SQQ3
ABF,ASSOCIATED BRITISH FOODS PLC,ORD 5 15/22P,GB0006731235,SHRS,Consumer Staples ,"Food, Beverage and Tobacco ",24/11/2003,United Kingdom,GBX,"�15,623.69",MAIN MARKET,Premium Equity Commercial Companies,SET1,FE10
AGR,ASSURA PLC,ORD 10P,GB00BVGBWW93,SHRS,Real Estate,Real Estate ,28/01/2015,United Kingdom,GBX,"�2,098.70",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
AML,ASTON MARTIN LAGONDA GLOBAL HOLDINGS PLC,ORD GBP0.10,GB00BN7CG237,SHRS,Consumer Discretionary,Automobiles and Parts,14/12/2020,United Kingdom,GBX,"�2,253.88",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25T
AZN,ASTRAZENECA PLC,ORD SHS $0.25,GB0009895292,SHRS,Health Care ,Health Care  ,13/01/2006,United Kingdom,GBX,"�132,681.82",MAIN MARKET,Premium Equity Commercial Companies,SET1,FE10
ATYM,ATALAYA MINING PLC,ORD 7.5P,CY0106002112,SHRS,Basic Materials,Basic Resources,21/10/2015,Cyprus,GBX,�439.51,AIM,,ASQ1,AMQ1
ATY,ATHELNEY TRUST PLC,ORD 25P,GB0000609296,SHRS,Financials,Financial Services ,23/04/2007,United Kingdom,GBX,�5.29,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
AJG,ATLANTIS JAPAN GROWTH FUND LD,ORD NPV,GG00B61ND550,SHRS,Financials,Financial Services ,16/12/2010,Guernsey,GBX,�100.72,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
ATMA,ATLAS MARA LIMITED,ORD NPV (DI),VGG0697K1066,SHRS,Financials,Financial Services ,17/12/2013,British Virgin Islands,USD,�46.48,MAIN MARKET,Standard Shares,SSMU,SMEV
ATQT,ATTRAQT GROUP PLC,ORD 1P,GB00BMJJFZ18,SHRS,Technology,Technology,19/08/2014,United Kingdom,GBX,�87.56,AIM,,ASQ1,AMQ1
ATG,AUCTION TECHNOLOGY GROUP PLC,ORD 0.01P,GB00BMVQDZ64,SHRS,Technology,Technology,26/02/2021,United Kingdom,GBX,"�1,891.20",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25T
BOOM,AUDIOBOOM GROUP PLC,ORD SHS NPV,JE00BJYJFG60,SHRS,Consumer Discretionary,Consumer Products and Services,21/06/2019,Jersey,GBX,�145.95,AIM,,ASQ1,AMQ1
AUG,AUGEAN PLC,ORD 10P,GB00B02H2F76,SHRS,Utilities,Utilities,02/12/2005,United Kingdom,GBX,�351.66,AIM,,ASQ1,AMQ1
AUGM,AUGMENTUM FINTECH PLC,ORD GBP0.01,GB00BG12XV81,SHRS,Financials,Financial Services ,13/03/2018,United Kingdom,GBX,�297.31,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
AUK,AUKETT SWANKE GROUP PLC,ORD 1P,GB0000617950,SHRS,Industrials,Construction and Materials,25/04/2006,United Kingdom,GBX,�3.22,AIM,,ASX1,AIMP
AURA,AURA ENERGY LIMITED,ORD NPV (DI),AU000000AEE7,SHRS,Basic Materials,Basic Resources,12/09/2016,Australia,GBX,�22.80,AIM,,ASQ1,AMQ1
ARR,AURORA INVESTMENT TRUST PLC,ORD 25P,GB0000633262,SHRS,Financials,Financial Services ,10/09/1999,United Kingdom,GBX,�171.79,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
AUTG,AUTINS GROUP PLC,ORD GBP0.02,GB00BD37ZH08,SHRS,Consumer Discretionary,Automobiles and Parts,22/08/2016,United Kingdom,GBX,�8.91,AIM,,ASQ1,AMQ1
AUTO,AUTO TRADER GROUP PLC,ORD 1P,GB00BVYVFW23,SHRS,Technology,Technology,19/03/2015,United Kingdom,GBX,"�6,003.76",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
AVCT,AVACTA GROUP PLC,ORD 10P,GB00BYYW9G87,SHRS,Health Care ,Health Care  ,26/01/2016,United Kingdom,GBX,�309.46,AIM,,ASX1,AIMP
AVST,AVAST PLC,ORD 10P,GB00BDD85M81,SHRS,Technology,Technology,10/05/2018,United Kingdom,GBX,"�6,217.61",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
AVAP,AVATION PLC,ORD 1P,GB00B196F554,SHRS,Industrials,Industrial Goods and Services,06/10/2010,United Kingdom,GBX,�65.32,MAIN MARKET,Standard Shares,SSQ3,SQS3
AVV,AVEVA GROUP PLC,ORD 3 5/9P,GB00BBG9VN75,SHRS,Technology,Technology,15/07/2013,United Kingdom,GBX,"�12,595.84",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
AGT,AVI GLOBAL TRUST PLC,ORD 10P,GB0001335081,SHRS,Financials,Financial Services ,31/10/2003,United Kingdom,GBX,"�1,001.39",MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25F
AJOT,AVI JAPAN OPPORTUNITY TRUST PLC,ORD 1P,GB00BD6H5D36,SHRS,Financials,Financial Services ,23/10/2018,United Kingdom,GBX,�150.24,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC7
AVG,AVINGTRANS PLC,ORD 5P,GB0009188797,SHRS,Industrials,Industrial Goods and Services,24/03/2005,United Kingdom,GBX,�132.89,AIM,,ASQ1,AMQ1
AV.,AVIVA PLC,ORD 25P,GB0002162385,SHRS,Financials,Insurance,13/07/2005,United Kingdom,GBX,"�16,095.93",MAIN MARKET,Premium Equity Commercial Companies,SET1,FE10
AV.A,AVIVA PLC,8 3/4% CUM IRRD PRF #1,GB0002124963,SHRS,Financials,Insurance,13/12/2004,United Kingdom,GBX,�160.50,MAIN MARKET,Standard Shares,SSQ3,SQS3
AV.B,AVIVA PLC,8 3/8% CUM IRRD PRF #1,GB0002114154,SHRS,Financials,Insurance,13/12/2004,United Kingdom,GBX,�158.00,MAIN MARKET,Standard Shares,SSQ3,SQS3
AVON,AVON PROTECTION PLC,ORD #1,GB0000667013,SHRS,Industrials,Industrial Goods and Services,10/09/1999,United Kingdom,GBX,�586.65,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25T
AXI,AXIOM EUROPEAN FINANCIAL DEBT FUND LIMITED,ORD NPV,GG00BTC2K735,SHRS,Financials,Financial Services ,05/11/2015,Guernsey,GBX,�85.88,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
B90,B90 HOLDINGS PLC,ORD NPV,IM00BYT32K14,SHRS,Consumer Discretionary,Travel and Leisure,30/06/2016,Isle of Man,GBX,�23.86,AIM,,ASQ1,AMQ1
BAB,BABCOCK INTERNATIONAL GROUP PLC,ORD 60P,GB0009697037,SHRS,Industrials,Industrial Goods and Services,15/07/2005,United Kingdom,GBX,"�1,868.18",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
BCN,BACANORA LITHIUM PLC,ORDS 10P,GB00BD20C246,SHRS,Basic Materials,Basic Resources,26/03/2018,United Kingdom,GBX,�255.46,AIM,,ASQ1,AMQ1
BCNA,BACANORA LITHIUM PLC,ORD 10P (ASSD GANFENG INTL TRDING) OFFER,GB00BMYGQC16,SHRS,Basic Materials,Basic Resources,27/08/2021,United Kingdom,GBX,,AIM,,ASXN,AIMN
BA.,BAE SYSTEMS PLC,ORD 2.5P,GB0002634946,SHRS,Industrials,Industrial Goods and Services,24/11/2003,United Kingdom,GBX,"�18,368.73",MAIN MARKET,Premium Equity Commercial Companies,SET1,FE10
BGCG,BAILLIE GIFFORD CHINA GROWTH TRUST PLC,ORD 25P,GB0003656021,SHRS,Financials,Financial Services ,08/07/2005,United Kingdom,GBX,�257.35,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
BGEU,BAILLIE GIFFORD EUROPEAN GROWTH TRUST PLC,ORD 2.5P,GB00BMC7T380,SHRS,Financials,Financial Services ,01/02/2021,United Kingdom,GBX,�600.13,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
BGFD,BAILLIE GIFFORD JAPAN TRUST PLC,ORD 5P,GB0000485838,SHRS,Financials,Financial Services ,02/12/2005,United Kingdom,GBX,�943.28,MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25F
BGS,BAILLIE GIFFORD SHIN NIPPON PLC,ORD 2P,GB00BFXYH242,SHRS,Financials,Financial Services ,21/05/2018,United Kingdom,GBX,�756.99,MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25T
BGUK,BAILLIE GIFFORD UK GROWTH TRUST PLC,ORD 25P,GB0007913485,SHRS,Financials,Financial Services ,08/07/2005,United Kingdom,GBX,�383.74,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
USA,BAILLIE GIFFORD US GROWTH TRUST PLC,ORD GBP0.01,GB00BDFGHW41,SHRS,Financials,Financial Services ,23/03/2018,United Kingdom,GBX,"�1,068.08",MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25S
BSRT,BAKER STEEL RESOURCES TRUST LIMITED,ORD NPV,GG00B6686L20,SHRS,Financials,Financial Services ,28/04/2010,Guernsey,GBX,�89.96,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
BAKK,BAKKAVOR GROUP PLC,ORD 2P,GB00BF8J3Z99,SHRS,Consumer Staples ,"Food, Beverage and Tobacco ",16/11/2017,United Kingdom,GBX,�672.13,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
BBY,BALFOUR BEATTY PLC,ORD 50P,GB0000961622,SHRS,Industrials,Construction and Materials,18/06/2001,United Kingdom,GBX,"�1,831.21",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
BCG,BALTIC CLASSIFIEDS GROUP PLC,ORD GBP1,GB00BN44P254,SHRS,Technology,Technology,03/07/2021,United Kingdom,GBX,"�1,200.00",MAIN MARKET,Premium Equity Commercial Companies,SET3,ON10
BVA,BANCO BILBAO VIZCAYA ARGENTARIA S.A.,ORD EUR0.49,ES0113211835,SHRS,Financials,Banks,07/11/2007,Spain,EUR,"�31,529.80",MAIN MARKET,Standard Shares,SSMU,SMEV
BNC,BANCO SANTANDER S.A.,ORD EUR0.50 (CDI),ES0113900J37,SHRS,Financials,Banks,16/10/2006,Spain,GBX,"�46,993.14",MAIN MARKET,Standard Shares,SSMU,SMEU
BGO,BANGO PLC,ORD 20P,GB00B0BRN552,SHRS,Technology,Technology,30/06/2005,United Kingdom,GBX,�160.86,AIM,,ASQ1,AMQ1
BNKR,BANKERS INVESTMENT TRUST PLC,ORD 2.5P,GB00BN4NDR39,SHRS,Financials,Financial Services ,01/03/2021,United Kingdom,GBX,"�1,549.19",MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25F
BOCH,BANK OF CYPRUS HOLDINGS PUBLIC LIMITED COMPANY,ORD EUR0.10 (CDI),IE00BD5B1Y92,SHRS,Financials,Banks,25/01/2021,Ireland,GBX,�428.80,MAIN MARKET,Standard Shares,SSMU,SMEV
BGEO,BANK OF GEORGIA GROUP PLC,ORD 1P,GB00BF4HYT85,SHRS,Financials,Banks,21/05/2018,United Kingdom,GBX,�764.31,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC4
BKIC,BANK OF IRELAND (GOVERNOR & COMPANY OF THE),NON-CUM PRF'A'#1&#9 LIQUIDATION (CDI),IE0000730808,SHRS,Financials,Banks,13/12/2004,Ireland,GBP,�40.34,MAIN MARKET,Standard Debt,SSX3,SQSL
BKIE,BANK OF IRELAND (GOVERNOR & COMPANY OF THE),UTS NON-CUM EUR PREF STK EUR1.27 A (CDI),IE0000730790,SHRS,Financials,Banks,23/08/2016,Ireland,EUR,,MAIN MARKET,Standard Debt,SSX4,SXSN
BIRG,BANK OF IRELAND GROUP PLC,ORD EUR1.00 (CDI),IE00BD1RP616,SHRS,Financials,Banks,10/07/2017,Ireland,EUR,"�4,903.79",MAIN MARKET,Premium Equity Commercial Companies,SET3,ON10
BARC,BARCLAYS PLC,ORD 25P,GB0031348658,SHRS,Financials,Banks,13/01/2006,United Kingdom,GBX,"�31,450.69",MAIN MARKET,Premium Equity Commercial Companies,SET1,FE10
BEMO,BARINGS EMERGING EMEA OPPORTUNITIES PLC,ORD 10P,GB0032273343,SHRS,Financials,Financial Services ,08/07/2005,United Kingdom,GBX,�94.40,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET3,ON15
BARK,BARKBY GROUP PLC,ORD �0.00860675675675676,GB00BL6TZZ70,SHRS,Consumer Discretionary,Travel and Leisure,07/01/2020,United Kingdom,GBX,�30.13,AIM,,ASQ1,AMQ1
BWO,BARLOWORLD LD,ORD R0.05,ZAE000026639,SHRS,Industrials,Industrial Goods and Services,27/09/2004,South Africa,GBX,"�1,176.08",MAIN MARKET,Standard Shares,SSX4,SXSN
BOIL,BARON OIL PLC,ORD 0.025P,GB00B01QGH57,SHRS,Energy,Energy,14/03/2007,United Kingdom,GBX,�8.40,AIM,,ASQ1,AMQ1
BMD,BARONSMEAD SECOND VENTURE TRUST PLC,ORD 10P,GB0030028103,SHRS,Financials,Financial Services ,30/01/2001,United Kingdom,GBX,�235.06,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
BVT,BARONSMEAD VENTURE TRUST PLC,ORD 10P,GB0002631934,SHRS,Financials,Financial Services ,13/09/1999,United Kingdom,GBX,�211.07,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
BAG,BARR (A.G.) PLC,ORD 4 1/6P,GB00B6XZKY75,SHRS,Consumer Staples ,"Food, Beverage and Tobacco ",28/05/2012,United Kingdom,GBX,�622.88,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC4
BDEV,BARRATT DEVELOPMENTS PLC,ORD 10P,GB0000811801,SHRS,Consumer Discretionary,Consumer Products and Services,18/06/2007,United Kingdom,GBX,"�7,471.61",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
BSE,BASE RESOURCES LIMITED,ORD NPV (DI),AU000000BSE5,SHRS,Basic Materials,Basic Resources,08/01/2013,Australia,GBX,�181.99,AIM,,ASQ1,AMQ1
BVC,BATM ADVANCED COMMUNICATIONS LD,ORD ILS0.01,IL0010849045,SHRS,Telecommunications,Telecommunications,19/06/2006,Israel,GBX,�407.84,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
BBGI,BBGI GLOBAL INFRASTRUCTURE S.A. ,ORD NPV (DI),LU0686550053,SHRS,Financials,Financial Services ,21/12/2011,United Kingdom,GBX,"�1,230.49",MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25F
BBH,BB HEALTHCARE TRUST PLC,RED ORD 1P,GB00BZCNLL95,SHRS,Financials,Financial Services ,02/12/2016,United Kingdom,GBX,"�1,071.98",MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25T
77GD,BBVA CAPITAL FUNDING LD,'A'9% N-CUM GTD N.VTG DM EURO PRF(BR),KYG089961117,SHRS,,,17/03/2010,Cayman Islands,EUR,,MAIN MARKET,Standard Shares,SSX4,SXSN
BEZ,BEAZLEY PLC,ORD 5P,GB00BYQ0JC66,SHRS,Financials,Insurance,13/04/2016,United Kingdom,GBX,"�2,395.51",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
BKS,BEEKS FINANCIAL CLOUD GROUP PLC,ORD GBP0.00125,GB00BZ0X8W18,SHRS,Technology,Technology,27/11/2017,United Kingdom,GBX,�78.19,AIM,,ASQ1,AMQ1
BEG,BEGBIES TRAYNOR GROUP PLC,ORD 5P,GB00B0305S97,SHRS,Financials,Financial Services ,22/09/2008,United Kingdom,GBX,�213.02,AIM,,AMSM,ASM6
BELL,BELLUSCURA PLC,ORD 1P,GB00BD3B8Z11,SHRS,Health Care ,Health Care  ,28/05/2021,United Kingdom,GBX,�107.64,AIM,,ASQ1,AMQ1
BWY,BELLWAY PLC,ORD 12.5P,GB0000904986,SHRS,Consumer Discretionary,Consumer Products and Services,31/10/2003,United Kingdom,GBX,"�4,267.05",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
BLV,BELVOIR GROUP PLC,ORD 1P,GB00B4QY1P51,SHRS,Real Estate,Real Estate ,21/02/2012,United Kingdom,GBX,�116.36,AIM,,ASQ1,AMQ1
BMK,BENCHMARK HOLDINGS PLC,ORD 0.1P,GB00BGHPT808,SHRS,Health Care ,Health Care  ,18/12/2013,United Kingdom,GBX,�402.22,AIM,,AMSM,AS50
BEM,BEOWULF MINING PLC,ORD 1P,GB0033163287,SHRS,Basic Materials,Basic Resources,09/05/2005,United Kingdom,GBX,�31.19,AIM,,ASQ1,AMQ1
BKY,BERKELEY ENERGIA LIMITED,ORD NPV (DI),AU000000BKY0,SHRS,Basic Materials,Basic Resources,06/12/2006,Australia,GBX,�41.38,MAIN MARKET,Standard Shares,SSQ3,SQS3
BKG,BERKELEY GROUP HOLDINGS (THE) PLC,ORD SHS 5P,GB00B02L3W35,SHRS,Consumer Discretionary,Consumer Products and Services,26/10/2004,United Kingdom,GBX,"�5,868.18",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
BOTB,BEST OF THE BEST PLC,ORD 5P,GB00B16S3505,SHRS,Consumer Discretionary,Travel and Leisure,19/12/2006,United Kingdom,GBX,�64.48,AIM,,ASQ1,AMQ1
BZT,BEZANT RESOURCES PLC,ORD 0.002P,GB00B1CKQD97,SHRS,Basic Materials,Basic Resources,29/09/2006,United Kingdom,GBX,�7.29,AIM,,ASQ1,AMQ1
BHMG,BH MACRO LIMITED,ORD NPV (GBP),GG00B1NP5142,SHRS,Financials,Financial Services ,09/03/2007,Guernsey,GBX,�506.02,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
BHMU,BH MACRO LIMITED,ORD NPV (USD),GG00B1NPGV15,SHRS,Financials,Financial Services ,09/03/2007,Guernsey,USD,�52.93,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET3,ON15
BHP,BHP GROUP PLC,ORD $0.50,GB00BH0P3Z91,SHRS,Basic Materials,Basic Resources,23/11/2018,United Kingdom,GBX,"�48,155.24",MAIN MARKET,Premium Equity Commercial Companies,SET1,FE10
BIDS,BIDSTACK GROUP PLC,ORD 0.5P,GB00BZ7M6059,SHRS,Consumer Discretionary,Media,15/11/2017,United Kingdom,GBX,�18.63,AIM,,ASQ1,AMQ1
BIFF,BIFFA PLC,ORD GBP0.01,GB00BD8DR117,SHRS,Utilities,Utilities,17/10/2016,United Kingdom,GBX,"�1,170.48",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25S
BBB,BIGBLU BROADBAND PLC,ORD 15P,GB00BD5JMP10,SHRS,Telecommunications,Telecommunications,24/05/2018,United Kingdom,GBX,�61.33,AIM,,ASQ1,AMQ1
BIG,BIG TECHNOLOGIES PLC,ORD GBP0.01,GB00BN2TR932,SHRS,Technology,Technology,28/07/2021,United Kingdom,GBX,"�1,017.60",AIM,,AMSM,ASM7
BYG,BIG YELLOW GROUP PLC,ORD 10P,GB0002869419,SHRS,Real Estate,Real Estate ,28/06/2006,United Kingdom,GBX,"�2,873.06",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
BILN,BILLINGTON HOLDINGS PLC,ORD 10P,GB0000332667,SHRS,Industrials,Construction and Materials,28/06/2002,United Kingdom,GBX,�38.20,AIM,,ASX1,AIMP
BIOM,BIOME TECHNOLOGIES PLC,ORD 5P,GB00B9Z1M820,SHRS,Basic Materials,Chemicals,16/07/2013,United Kingdom,GBX,�15.59,AIM,,ASQ1,AMQ1
BION,BION PLC,ORD NPV,JE00BYTQ7945,SHRS,Utilities,Utilities,12/05/2016,Jersey,GBX,�10.79,AIM,,ASQ1,AMQ1
BPCR,BIOPHARMA CREDIT PLC,ORD USD0.01,GB00BDGKMY29,SHRS,Financials,Financial Services ,27/03/2017,United Kingdom,USD,�979.66,MAIN MARKET - SFS,,SFM1,SFML
BIOG,BIOTECH GROWTH TRUST (THE) PLC,ORD 25P,GB0000385517,SHRS,Financials,Financial Services ,20/09/2005,United Kingdom,GBX,�527.94,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
BVXP,BIOVENTIX PLC,ORD 5P,GB00B4QVDF07,SHRS,Health Care ,Health Care  ,29/04/2014,United Kingdom,GBX,�220.09,AIM,,ASQ1,AMQ1
BISI,BISICHI PLC,ORD 10P,GB0001012045,SHRS,Energy,Energy,13/09/1999,United Kingdom,GBX,�8.54,MAIN MARKET,Standard Shares,SSX3,SQSL
BVX,BIVICTRIX THERAPEUTICS PLC,ORD 1P,GB00BNXH3K91,SHRS,Health Care ,Health Care  ,11/08/2021,United Kingdom,GBX,�13.55,AIM,,ASQ1,AMQ1
BIRD,BLACKBIRD PLC,ORD 0.8P,GB0004740477,SHRS,Technology,Technology,02/06/2000,United Kingdom,GBX,�114.14,AIM,,ASX1,AIMP
BFSP,BLACKFINCH SPRING VCT PLC,ORD �0.01,GB00BKV46W45,SHRS,Financials,Financial Services ,09/04/2020,United Kingdom,GBX,�9.30,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
BERI,BLACKROCK ENERGY AND RESOURCES INCOME TRUST PLC,ORD 1P,GB00B0N8MF98,SHRS,Financials,Financial Services ,08/12/2005,United Kingdom,GBX,�103.13,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET3,ON10
BRFI,BLACKROCK FRONTIERS INVESTMENT TRUST PLC,ORD USD0.01,GB00B3SXM832,SHRS,Financials,Financial Services ,17/12/2010,United Kingdom,GBX,�232.87,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
